id,Run,Type,Common ranking,Match GS D,"GS Match, P (D Prop)","GS Match, P Prime (D Prop)",Match GS H,"GS Match, P (H Prop)","GS Match, P Prime (H Prop)",Match GS Trunc D,"GS Truncated Match, P (D Prop)","GS Truncated Match, P Prime (D Prop)",Match GS Trunc H,"GS Truncated Match, P (H Prop)","GS Truncated Match, P Prime (H Prop)",Match TAGS P D,"TAGS, P (D Prop)","TAGS, P Prime(D Prop)",Match TAGS P H,"TAGS, P (H Prop)","TAGS, P Prime(H Prop)",blocking pairs TAGS (D Prop),blocking pairs TAGS (H Prop),blocking pairs Trunc. GS (H Prop),blocking pairs Trunc. GS (D Prop),blocking pairs GS (D Prop),blocking pairs GS (H Prop)
W82,1,Doctor,1,H106,12,2,H106,12,2,Unmatched,0,0,Unmatched,0,0,H106,12,2,H106,12,2,0,0,192,192,0,0
W14,1,Doctor,2,H53,46,4,H53,46,4,Unmatched,0,0,Unmatched,0,0,H53,46,4,H53,46,4,0,0,192,192,0,0
W7,1,Doctor,3,H160,16,2,H160,16,2,Unmatched,0,0,Unmatched,0,0,H160,16,2,H160,16,2,0,0,191,191,0,0
W9,1,Doctor,4,H88,72,4,H88,72,4,Unmatched,0,0,Unmatched,0,0,H88,72,4,H88,72,4,0,0,191,191,0,0
W26,1,Doctor,5,H126,40,1,H126,40,1,Unmatched,0,0,Unmatched,0,0,H126,40,1,H126,40,1,0,0,193,193,0,0
W83,1,Doctor,6,H49,57,3,H49,57,3,Unmatched,0,0,Unmatched,0,0,H49,57,3,H49,57,3,0,0,192,192,0,0
W114,1,Doctor,7,H25,31,2,H25,31,2,Unmatched,0,0,Unmatched,0,0,H25,31,2,H25,31,2,0,0,192,192,0,0
W191,1,Doctor,8,H55,87,2,H55,87,2,H107,5,-1,H107,5,-1,H55,87,2,H55,87,2,0,0,0,0,0,0
W132,1,Doctor,9,H118,46,2,H118,46,2,Unmatched,0,0,Unmatched,0,0,H118,46,2,H118,46,2,0,0,191,191,0,0
W76,1,Doctor,10,H16,83,2,H16,83,2,Unmatched,0,0,Unmatched,0,0,H16,83,2,H16,83,2,0,0,191,191,0,0
W144,1,Doctor,11,H158,49,2,H158,49,2,Unmatched,0,0,Unmatched,0,0,H158,49,2,H158,49,2,0,0,191,191,0,0
W167,1,Doctor,12,H151,152,-1,H151,152,-1,Unmatched,0,0,Unmatched,0,0,Unmatched,0,0,Unmatched,0,0,22,22,192,192,0,0
W77,1,Doctor,13,H9,99,4,H9,99,4,Unmatched,0,0,Unmatched,0,0,H9,99,4,H9,99,4,1,1,193,193,0,0
W171,1,Doctor,14,H67,95,3,H67,95,3,Unmatched,0,0,Unmatched,0,0,H67,95,3,H67,95,3,0,0,192,192,0,0
W36,1,Doctor,15,H149,100,5,H149,100,5,Unmatched,0,0,Unmatched,0,0,H149,100,5,H149,100,5,1,1,191,191,0,0
W63,1,Doctor,16,H192,180,5,H192,180,5,Unmatched,0,0,Unmatched,0,0,H192,180,5,H192,180,5,11,11,191,191,0,0
W39,1,Doctor,17,H143,29,3,H143,29,3,Unmatched,0,0,Unmatched,0,0,H143,29,3,H143,29,3,0,0,191,191,0,0
W185,1,Doctor,18,H75,103,3,H75,103,3,Unmatched,0,0,Unmatched,0,0,H75,103,3,H75,103,3,1,1,192,192,0,0
W64,1,Doctor,19,H168,8,2,H168,8,2,Unmatched,0,0,Unmatched,0,0,H168,8,2,H168,8,2,0,0,192,192,0,0
W177,1,Doctor,20,H146,193,-1,H146,193,-1,Unmatched,0,0,Unmatched,0,0,Unmatched,0,0,Unmatched,0,0,19,19,192,192,0,0
W108,1,Doctor,21,H137,35,2,H137,35,2,Unmatched,0,0,Unmatched,0,0,H137,35,2,H137,35,2,0,0,193,193,0,0
W188,1,Doctor,22,H24,108,3,H24,108,3,Unmatched,0,0,Unmatched,0,0,H24,108,3,H24,108,3,1,1,191,191,0,0
W194,1,Doctor,23,H194,13,1,H194,13,1,Unmatched,0,0,Unmatched,0,0,H194,13,1,H194,13,1,0,0,191,191,0,0
W61,1,Doctor,24,H136,143,1,H136,143,1,Unmatched,0,0,Unmatched,0,0,H136,143,1,H136,143,1,3,3,192,192,0,0
W99,1,Doctor,25,H111,102,-1,H111,102,-1,Unmatched,0,0,Unmatched,0,0,Unmatched,0,0,Unmatched,0,0,24,24,191,191,0,0
W183,1,Doctor,26,H58,46,2,H58,46,2,Unmatched,0,0,Unmatched,0,0,H58,46,2,H58,46,2,0,0,191,191,0,0
W74,1,Doctor,27,H45,41,1,H45,41,1,Unmatched,0,0,Unmatched,0,0,H45,41,1,H45,41,1,0,0,192,192,0,0
W196,1,Doctor,28,H6,8,2,H6,8,2,Unmatched,0,0,Unmatched,0,0,H6,8,2,H6,8,2,0,0,193,193,0,0
W121,1,Doctor,29,H147,111,4,H147,111,4,Unmatched,0,0,Unmatched,0,0,H147,111,4,H147,111,4,1,1,191,191,0,0
W56,1,Doctor,30,H60,180,-1,H60,180,-1,Unmatched,0,0,Unmatched,0,0,H197,177,5,H197,177,5,11,11,191,191,0,0
W88,1,Doctor,31,H18,153,-1,H18,153,-1,Unmatched,0,0,Unmatched,0,0,Unmatched,0,0,Unmatched,0,0,20,20,193,193,0,0
W151,1,Doctor,32,H189,144,3,H189,144,3,Unmatched,0,0,Unmatched,0,0,H189,144,3,H189,144,3,3,3,192,192,0,0
W73,1,Doctor,33,H99,98,3,H99,98,3,Unmatched,0,0,Unmatched,0,0,H99,98,3,H99,98,3,0,0,191,191,0,0
W128,1,Doctor,34,H8,2,1,H8,2,1,H8,2,1,H8,2,1,H8,2,1,H8,2,1,0,0,0,0,0,0
W181,1,Doctor,35,H121,98,4,H121,98,4,Unmatched,0,0,Unmatched,0,0,H121,98,4,H121,98,4,1,1,191,191,0,0
W112,1,Doctor,36,H100,29,1,H100,29,1,Unmatched,0,0,Unmatched,0,0,H100,29,1,H100,29,1,0,0,192,192,0,0
W145,1,Doctor,37,H43,40,2,H43,40,2,Unmatched,0,0,Unmatched,0,0,H43,40,2,H43,40,2,0,0,192,192,0,0
W57,1,Doctor,38,H62,78,2,H62,78,2,Unmatched,0,0,Unmatched,0,0,H62,78,2,H62,78,2,0,0,191,191,0,0
W58,1,Doctor,39,H47,131,2,H47,131,2,Unmatched,0,0,Unmatched,0,0,H47,131,2,H47,131,2,1,1,191,191,0,0
W100,1,Doctor,40,H177,69,2,H177,69,2,Unmatched,0,0,Unmatched,0,0,H177,69,2,H177,69,2,0,0,192,192,0,0
W23,1,Doctor,41,H17,178,3,H17,178,3,Unmatched,0,0,Unmatched,0,0,H17,178,3,H17,178,3,11,11,192,192,0,0
W116,1,Doctor,42,H123,180,5,H123,180,5,Unmatched,0,0,Unmatched,0,0,H123,180,5,H123,180,5,11,11,191,191,0,0
W123,1,Doctor,43,H116,86,2,H116,86,2,Unmatched,0,0,Unmatched,0,0,H116,86,2,H116,86,2,0,0,191,191,0,0
W158,1,Doctor,44,H94,190,5,H94,190,5,Unmatched,0,0,Unmatched,0,0,H94,190,5,H94,190,5,14,14,192,192,0,0
W46,1,Doctor,45,H14,82,4,H14,82,4,Unmatched,0,0,Unmatched,0,0,H14,82,4,H14,82,4,0,0,192,192,0,0
W160,1,Doctor,46,H200,124,2,H200,124,2,Unmatched,0,0,Unmatched,0,0,H200,124,2,H200,124,2,1,1,191,191,0,0
W122,1,Doctor,47,H73,190,-1,H73,190,-1,Unmatched,0,0,Unmatched,0,0,Unmatched,0,0,Unmatched,0,0,19,19,191,191,0,0
W25,1,Doctor,48,H112,3,1,H112,3,1,H112,3,1,H112,3,1,H112,3,1,H112,3,1,0,0,0,0,0,0
W149,1,Doctor,49,H109,114,2,H109,114,2,Unmatched,0,0,Unmatched,0,0,H109,114,2,H109,114,2,1,1,192,192,0,0
W65,1,Doctor,50,H78,148,-1,H78,148,-1,Unmatched,0,0,Unmatched,0,0,Unmatched,0,0,Unmatched,0,0,22,22,191,191,0,0
W50,1,Doctor,51,H144,165,-1,H144,165,-1,Unmatched,0,0,Unmatched,0,0,Unmatched,0,0,Unmatched,0,0,19,19,193,193,0,0
W103,1,Doctor,52,H80,90,1,H80,90,1,Unmatched,0,0,Unmatched,0,0,H80,90,1,H80,90,1,0,0,191,191,0,0
W22,1,Doctor,53,H178,177,-1,H178,177,-1,Unmatched,0,0,Unmatched,0,0,H35,192,4,H35,192,4,15,15,193,193,0,0
W24,1,Doctor,54,H190,114,4,H190,114,4,Unmatched,0,0,Unmatched,0,0,H190,114,4,H190,114,4,1,1,191,191,0,0
W75,1,Doctor,55,H68,74,2,H68,74,2,Unmatched,0,0,Unmatched,0,0,H68,74,2,H68,74,2,0,0,191,191,0,0
W35,1,Doctor,56,H195,18,1,H195,18,1,Unmatched,0,0,Unmatched,0,0,H195,18,1,H195,18,1,0,0,192,192,0,0
W193,1,Doctor,57,H12,152,4,H12,152,4,Unmatched,0,0,Unmatched,0,0,H12,152,4,H12,152,4,5,5,191,191,0,0
W197,1,Doctor,58,H46,64,2,H46,64,2,Unmatched,0,0,Unmatched,0,0,H46,64,2,H46,64,2,0,0,192,192,0,0
W51,1,Doctor,59,H152,61,1,H152,61,1,Unmatched,0,0,Unmatched,0,0,H152,61,1,H152,61,1,0,0,192,192,0,0
W106,1,Doctor,60,H181,28,1,H181,28,1,Unmatched,0,0,Unmatched,0,0,H181,28,1,H181,28,1,0,0,192,192,0,0
W134,1,Doctor,61,H107,7,1,H107,7,1,Unmatched,0,0,Unmatched,0,0,H107,7,1,H107,7,1,0,0,193,193,0,0
W47,1,Doctor,62,H5,30,3,H5,30,3,Unmatched,0,0,Unmatched,0,0,H5,30,3,H5,30,3,0,0,192,192,0,0
W195,1,Doctor,63,H54,83,2,H54,83,2,Unmatched,0,0,Unmatched,0,0,H54,83,2,H54,83,2,0,0,192,192,0,0
W53,1,Doctor,64,H42,164,2,H42,164,2,Unmatched,0,0,Unmatched,0,0,H42,164,2,H42,164,2,8,8,191,191,0,0
W29,1,Doctor,65,H175,82,2,H175,82,2,Unmatched,0,0,Unmatched,0,0,H175,82,2,H175,82,2,0,0,193,193,0,0
W186,1,Doctor,66,H139,39,2,H139,39,2,Unmatched,0,0,Unmatched,0,0,H139,39,2,H139,39,2,0,0,192,192,0,0
W93,1,Doctor,67,H85,9,2,H85,9,2,Unmatched,0,0,Unmatched,0,0,H85,9,2,H85,9,2,0,0,191,191,0,0
W143,1,Doctor,68,H57,133,-1,H57,133,-1,H157,5,-1,H157,5,-1,H98,137,2,H98,137,2,2,2,0,0,0,0
W60,1,Doctor,69,H108,142,2,H108,142,2,Unmatched,0,0,Unmatched,0,0,H108,142,2,H108,142,2,3,3,193,193,0,0
W16,1,Doctor,70,H179,77,2,H179,77,2,H6,5,1,H6,5,1,H179,77,2,H179,77,2,0,0,0,0,0,0
W170,1,Doctor,71,H110,115,3,H110,115,3,Unmatched,0,0,Unmatched,0,0,H110,115,3,H110,115,3,1,1,192,192,0,0
W54,1,Doctor,72,H102,158,3,H102,158,3,Unmatched,0,0,Unmatched,0,0,H102,158,3,H102,158,3,6,6,191,191,0,0
W31,1,Doctor,73,H4,64,1,H4,64,1,Unmatched,0,0,Unmatched,0,0,H4,64,1,H4,64,1,0,0,192,192,0,0
