id,Run,Type,Common ranking,Match GS D,"GS Match, P (D Prop)","GS Match, P Prime (D Prop)",Match GS H,"GS Match, P (H Prop)","GS Match, P Prime (H Prop)",Match GS Trunc D,"GS Truncated Match, P (D Prop)","GS Truncated Match, P Prime (D Prop)",Match GS Trunc H,"GS Truncated Match, P (H Prop)","GS Truncated Match, P Prime (H Prop)",Match TAGS P D,"TAGS, P (D Prop)","TAGS, P Prime(D Prop)",Match TAGS P H,"TAGS, P (H Prop)","TAGS, P Prime(H Prop)",blocking pairs TAGS (D Prop),blocking pairs TAGS (H Prop),blocking pairs Trunc. GS (H Prop),blocking pairs Trunc. GS (D Prop),blocking pairs GS (D Prop),blocking pairs GS (H Prop)
W137,1,Doctor,74,H131,72,2,H131,72,2,H168,5,-1,H168,5,-1,H131,72,2,H131,72,2,0,0,0,0,0,0
W146,1,Doctor,75,H71,5,1,H71,5,1,H71,5,1,H71,5,1,H71,5,1,H71,5,1,0,0,0,0,0,0
W95,1,Doctor,76,H164,112,3,H164,112,3,Unmatched,0,0,Unmatched,0,0,H164,112,3,H164,112,3,1,1,192,192,0,0
W42,1,Doctor,77,H122,74,2,H122,74,2,Unmatched,0,0,Unmatched,0,0,H122,74,2,H122,74,2,0,0,192,192,0,0
W15,1,Doctor,78,H130,120,3,H130,120,3,Unmatched,0,0,Unmatched,0,0,H130,120,3,H130,120,3,1,1,192,192,0,0
W71,1,Doctor,79,H183,1,1,H183,1,1,H183,1,1,H183,1,1,H183,1,1,H183,1,1,0,0,0,0,0,0
W89,1,Doctor,80,H165,159,5,H165,159,5,Unmatched,0,0,Unmatched,0,0,H165,159,5,H165,159,5,5,5,192,192,0,0
W28,1,Doctor,81,H97,21,1,H97,21,1,Unmatched,0,0,Unmatched,0,0,H97,21,1,H97,21,1,0,0,191,191,0,0
W179,1,Doctor,82,H11,170,2,H11,170,2,Unmatched,0,0,Unmatched,0,0,H11,170,2,H11,170,2,10,10,192,192,0,0
W141,1,Doctor,83,H2,170,-1,H2,170,-1,Unmatched,0,0,Unmatched,0,0,Unmatched,0,0,Unmatched,0,0,19,19,193,193,0,0
W119,1,Doctor,84,H90,136,4,H90,136,4,Unmatched,0,0,Unmatched,0,0,H90,136,4,H90,136,4,3,3,192,192,0,0
W168,1,Doctor,85,H157,7,1,H157,7,1,Unmatched,0,0,Unmatched,0,0,H157,7,1,H157,7,1,0,0,192,192,0,0
W67,1,Doctor,86,H173,158,4,H173,158,4,Unmatched,0,0,Unmatched,0,0,H173,158,4,H173,158,4,5,5,191,191,0,0
W152,1,Doctor,87,H180,23,1,H180,23,1,Unmatched,0,0,Unmatched,0,0,H180,23,1,H180,23,1,0,0,192,192,0,0
W5,1,Doctor,88,H95,65,1,H95,65,1,Unmatched,0,0,Unmatched,0,0,H95,65,1,H95,65,1,0,0,191,191,0,0
W153,1,Doctor,89,H119,15,1,H119,15,1,Unmatched,0,0,Unmatched,0,0,H119,15,1,H119,15,1,0,0,191,191,0,0
W140,1,Doctor,90,H96,45,2,H96,45,2,Unmatched,0,0,Unmatched,0,0,H96,45,2,H96,45,2,0,0,191,191,0,0
W133,1,Doctor,91,H66,170,2,H66,170,2,Unmatched,0,0,Unmatched,0,0,H66,170,2,H66,170,2,9,9,192,192,0,0
W102,1,Doctor,92,H81,114,2,H81,114,2,Unmatched,0,0,Unmatched,0,0,H81,114,2,H81,114,2,1,1,192,192,0,0
W169,1,Doctor,93,H172,11,1,H172,11,1,Unmatched,0,0,Unmatched,0,0,H172,11,1,H172,11,1,0,0,191,191,0,0
W68,1,Doctor,94,H52,4,1,H52,4,1,H52,4,1,H52,4,1,H52,4,1,H52,4,1,0,0,0,0,0,0
W192,1,Doctor,95,H64,72,2,H64,72,2,Unmatched,0,0,Unmatched,0,0,H64,72,2,H64,72,2,0,0,192,192,0,0
W162,1,Doctor,96,H22,120,3,H22,120,3,Unmatched,0,0,Unmatched,0,0,H22,120,3,H22,120,3,1,1,191,191,0,0
W10,1,Doctor,97,H69,96,4,H69,96,4,Unmatched,0,0,Unmatched,0,0,H69,96,4,H69,96,4,1,1,193,193,0,0
W62,1,Doctor,98,H44,46,1,H44,46,1,Unmatched,0,0,Unmatched,0,0,H44,46,1,H44,46,1,0,0,191,191,0,0
W189,1,Doctor,99,H91,58,2,H91,58,2,Unmatched,0,0,Unmatched,0,0,H91,58,2,H91,58,2,0,0,192,192,0,0
W55,1,Doctor,100,H197,174,-1,H197,174,-1,Unmatched,0,0,Unmatched,0,0,H128,150,5,H128,150,5,4,4,192,192,0,0
W187,1,Doctor,101,H170,32,1,H170,32,1,Unmatched,0,0,Unmatched,0,0,H170,32,1,H170,32,1,0,0,191,191,0,0
W120,1,Doctor,102,H156,91,3,H156,91,3,Unmatched,0,0,Unmatched,0,0,H156,91,3,H156,91,3,0,0,192,192,0,0
W161,1,Doctor,103,H174,112,4,H174,112,4,Unmatched,0,0,Unmatched,0,0,H174,112,4,H174,112,4,1,1,191,191,0,0
W138,1,Doctor,104,H40,102,4,H40,102,4,Unmatched,0,0,Unmatched,0,0,H40,102,4,H40,102,4,0,0,191,191,0,0
W72,1,Doctor,105,H141,184,-1,H141,184,-1,Unmatched,0,0,Unmatched,0,0,H18,156,2,H18,156,2,6,6,192,192,0,0
W8,1,Doctor,106,H188,89,5,H188,89,5,Unmatched,0,0,Unmatched,0,0,H188,89,5,H188,89,5,0,0,191,191,0,0
W156,1,Doctor,107,H104,127,2,H104,127,2,Unmatched,0,0,Unmatched,0,0,H104,127,2,H104,127,2,1,1,191,191,0,0
W52,1,Doctor,108,H50,154,-1,H50,154,-1,Unmatched,0,0,Unmatched,0,0,Unmatched,0,0,Unmatched,0,0,20,20,191,191,0,0
W173,1,Doctor,109,H61,183,4,H61,183,4,Unmatched,0,0,Unmatched,0,0,H61,183,4,H61,183,4,12,12,191,191,0,0
W30,1,Doctor,110,H163,17,1,H163,17,1,Unmatched,0,0,Unmatched,0,0,H163,17,1,H163,17,1,0,0,192,192,0,0
W69,1,Doctor,111,H23,58,1,H23,58,1,Unmatched,0,0,Unmatched,0,0,H23,58,1,H23,58,1,0,0,191,191,0,0
W48,1,Doctor,112,H138,178,2,H138,178,2,Unmatched,0,0,Unmatched,0,0,H138,178,2,H138,178,2,11,11,192,192,0,0
W40,1,Doctor,113,H63,145,3,H63,145,3,Unmatched,0,0,Unmatched,0,0,H63,145,3,H63,145,3,3,3,191,191,0,0
W113,1,Doctor,114,H176,143,5,H176,143,5,Unmatched,0,0,Unmatched,0,0,H176,143,5,H176,143,5,3,3,192,192,0,0
W32,1,Doctor,115,H84,197,5,H84,197,5,Unmatched,0,0,Unmatched,0,0,H70,160,2,H70,160,2,5,5,192,192,0,0
W38,1,Doctor,116,H51,172,-1,H51,172,-1,Unmatched,0,0,Unmatched,0,0,Unmatched,0,0,Unmatched,0,0,21,21,192,192,0,0
W17,1,Doctor,117,H193,97,2,H193,97,2,Unmatched,0,0,Unmatched,0,0,H193,97,2,H193,97,2,0,0,191,191,0,0
W34,1,Doctor,118,H113,107,4,H113,107,4,Unmatched,0,0,Unmatched,0,0,H113,107,4,H113,107,4,1,1,192,192,0,0
W97,1,Doctor,119,H89,194,4,H89,194,4,Unmatched,0,0,Unmatched,0,0,H89,194,4,H89,194,4,15,15,191,191,0,0
W18,1,Doctor,120,H13,151,2,H13,151,2,Unmatched,0,0,Unmatched,0,0,H13,151,2,H13,151,2,4,4,192,192,0,0
W91,1,Doctor,121,H125,37,2,H125,37,2,Unmatched,0,0,Unmatched,0,0,H125,37,2,H125,37,2,0,0,191,191,0,0
W109,1,Doctor,122,H198,22,1,H198,22,1,Unmatched,0,0,Unmatched,0,0,H198,22,1,H198,22,1,0,0,191,191,0,0
W198,1,Doctor,123,H41,177,1,H41,177,1,Unmatched,0,0,Unmatched,0,0,H41,177,1,H41,177,1,11,11,192,192,0,0
W66,1,Doctor,124,H7,86,2,H7,86,2,Unmatched,0,0,Unmatched,0,0,H7,86,2,H7,86,2,0,0,192,192,0,0
W163,1,Doctor,125,H35,192,-1,H35,192,-1,Unmatched,0,0,Unmatched,0,0,Unmatched,0,0,Unmatched,0,0,19,19,192,192,0,0
W142,1,Doctor,126,H145,72,3,H145,72,3,Unmatched,0,0,Unmatched,0,0,H145,72,3,H145,72,3,0,0,191,191,0,0
W98,1,Doctor,127,H28,41,1,H28,41,1,Unmatched,0,0,Unmatched,0,0,H28,41,1,H28,41,1,0,0,191,191,0,0
W150,1,Doctor,128,H134,134,5,H134,134,5,Unmatched,0,0,Unmatched,0,0,H134,134,5,H134,134,5,3,3,192,192,0,0
W80,1,Doctor,129,H34,200,-1,H34,200,-1,Unmatched,0,0,Unmatched,0,0,Unmatched,0,0,Unmatched,0,0,19,19,192,192,0,0
W79,1,Doctor,130,H65,14,1,H65,14,1,Unmatched,0,0,Unmatched,0,0,H65,14,1,H65,14,1,0,0,191,191,0,0
W4,1,Doctor,131,H129,59,3,H129,59,3,Unmatched,0,0,Unmatched,0,0,H129,59,3,H129,59,3,0,0,193,193,0,0
W27,1,Doctor,132,H59,54,2,H59,54,2,Unmatched,0,0,Unmatched,0,0,H59,54,2,H59,54,2,0,0,192,192,0,0
W70,1,Doctor,133,H191,140,3,H191,140,3,Unmatched,0,0,Unmatched,0,0,H191,140,3,H191,140,3,3,3,192,192,0,0
W41,1,Doctor,134,H56,197,3,H56,197,3,Unmatched,0,0,Unmatched,0,0,H56,197,3,H56,197,3,16,16,191,191,0,0
W86,1,Doctor,135,H162,101,3,H162,101,3,Unmatched,0,0,Unmatched,0,0,H162,101,3,H162,101,3,0,0,192,192,0,0
W178,1,Doctor,136,H155,134,3,H155,134,3,Unmatched,0,0,Unmatched,0,0,H155,134,3,H155,134,3,2,2,191,191,0,0
W2,1,Doctor,137,H199,107,5,H199,107,5,Unmatched,0,0,Unmatched,0,0,H199,107,5,H199,107,5,1,1,192,192,0,0
W147,1,Doctor,138,H1,199,4,H1,199,4,Unmatched,0,0,Unmatched,0,0,H21,183,3,H21,183,3,13,13,191,191,0,0
W175,1,Doctor,139,H32,91,3,H32,91,3,Unmatched,0,0,Unmatched,0,0,H32,91,3,H32,91,3,0,0,191,191,0,0
W131,1,Doctor,140,H185,193,-1,H185,193,-1,Unmatched,0,0,Unmatched,0,0,Unmatched,0,0,Unmatched,0,0,23,23,191,191,0,0
W37,1,Doctor,141,H135,190,4,H135,190,4,Unmatched,0,0,Unmatched,0,0,H135,190,4,H135,190,4,14,14,191,191,0,0
W136,1,Doctor,142,H166,76,4,H166,76,4,Unmatched,0,0,Unmatched,0,0,H166,76,4,H166,76,4,0,0,193,193,0,0
W85,1,Doctor,143,H37,51,2,H37,51,2,Unmatched,0,0,Unmatched,0,0,H37,51,2,H37,51,2,0,0,193,193,0,0
W3,1,Doctor,144,H10,196,4,H10,196,4,Unmatched,0,0,Unmatched,0,0,H185,194,3,H185,194,3,15,15,192,192,0,0
W164,1,Doctor,145,H142,111,2,H142,111,2,Unmatched,0,0,Unmatched,0,0,H142,111,2,H142,111,2,1,1,191,191,0,0
W78,1,Doctor,146,H92,151,2,H92,151,2,Unmatched,0,0,Unmatched,0,0,H92,151,2,H92,151,2,4,4,192,192,0,0
W139,1,Doctor,147,H86,152,-1,H86,152,-1,Unmatched,0,0,Unmatched,0,0,Unmatched,0,0,Unmatched,0,0,20,20,191,191,0,0
W176,1,Doctor,148,H105,64,3,H105,64,3,Unmatched,0,0,Unmatched,0,0,H105,64,3,H105,64,3,0,0,191,191,0,0
W129,1,Doctor,149,H120,33,2,H120,33,2,Unmatched,0,0,Unmatched,0,0,H120,33,2,H120,33,2,0,0,192,192,0,0
W118,1,Doctor,150,H133,37,3,H133,37,3,Unmatched,0,0,Unmatched,0,0,H133,37,3,H133,37,3,0,0,193,193,0,0
W135,1,Doctor,151,H79,48,1,H79,48,1,Unmatched,0,0,Unmatched,0,0,H79,48,1,H79,48,1,0,0,191,191,0,0
W115,1,Doctor,152,H21,180,3,H21,180,3,Unmatched,0,0,Unmatched,0,0,H50,164,1,H50,164,1,8,8,191,191,0,0
W107,1,Doctor,153,H36,24,2,H36,24,2,Unmatched,0,0,Unmatched,0,0,H36,24,2,H36,24,2,0,0,193,193,0,0
W165,1,Doctor,154,H127,182,-1,H127,182,-1,Unmatched,0,0,Unmatched,0,0,H10,193,4,H10,193,4,15,15,191,191,0,0
W155,1,Doctor,155,H82,113,4,H82,113,4,Unmatched,0,0,Unmatched,0,0,H82,113,4,H82,113,4,1,1,192,192,0,0
W126,1,Doctor,156,H184,127,3,H184,127,3,Unmatched,0,0,Unmatched,0,0,H184,127,3,H184,127,3,1,1,192,192,0,0
W12,1,Doctor,157,H159,30,1,H159,30,1,Unmatched,0,0,Unmatched,0,0,H159,30,1,H159,30,1,0,0,191,191,0,0
W117,1,Doctor,158,H29,84,1,H29,84,1,Unmatched,0,0,Unmatched,0,0,H29,84,1,H29,84,1,0,0,191,191,0,0
W101,1,Doctor,159,H140,114,2,H140,114,2,Unmatched,0,0,Unmatched,0,0,H140,114,2,H140,114,2,1,1,193,193,0,0
W1,1,Doctor,160,H27,154,-1,H27,154,-1,Unmatched,0,0,Unmatched,0,0,Unmatched,0,0,Unmatched,0,0,23,23,192,192,0,0
W184,1,Doctor,161,H128,155,-1,H128,155,-1,Unmatched,0,0,Unmatched,0,0,Unmatched,0,0,Unmatched,0,0,22,22,193,193,0,0
W159,1,Doctor,162,H39,147,4,H39,147,4,Unmatched,0,0,Unmatched,0,0,H39,147,4,H39,147,4,3,3,191,191,0,0
W127,1,Doctor,163,H20,163,-1,H20,163,-1,Unmatched,0,0,Unmatched,0,0,H73,188,5,H73,188,5,14,14,192,192,0,0
W190,1,Doctor,164,H114,166,-1,H114,166,-1,Unmatched,0,0,Unmatched,0,0,Unmatched,0,0,Unmatched,0,0,21,21,191,191,0,0
W182,1,Doctor,165,H19,131,4,H19,131,4,Unmatched,0,0,Unmatched,0,0,H19,131,4,H19,131,4,1,1,193,193,0,0
W11,1,Doctor,166,H103,169,4,H103,169,4,Unmatched,0,0,Unmatched,0,0,H103,169,4,H103,169,4,10,10,191,191,0,0
W125,1,Doctor,167,H182,125,2,H182,125,2,Unmatched,0,0,Unmatched,0,0,H182,125,2,H182,125,2,1,1,191,191,0,0
W180,1,Doctor,168,H154,189,-1,H154,189,-1,Unmatched,0,0,Unmatched,0,0,Unmatched,0,0,Unmatched,0,0,19,19,192,192,0,0
W90,1,Doctor,169,H196,41,2,H196,41,2,Unmatched,0,0,Unmatched,0,0,H196,41,2,H196,41,2,0,0,191,191,0,0
W154,1,Doctor,170,H72,81,5,H72,81,5,Unmatched,0,0,Unmatched,0,0,H72,81,5,H72,81,5,0,0,191,191,0,0
W45,1,Doctor,171,H74,57,1,H74,57,1,Unmatched,0,0,Unmatched,0,0,H74,57,1,H74,57,1,0,0,191,191,0,0
W172,1,Doctor,172,H76,137,-1,H76,137,-1,Unmatched,0,0,Unmatched,0,0,H178,176,2,H178,176,2,11,11,191,191,0,0
W19,1,Doctor,173,H187,130,3,H187,130,3,Unmatched,0,0,Unmatched,0,0,H187,130,3,H187,130,3,1,1,192,192,0,0
W33,1,Doctor,174,H30,182,5,H30,182,5,Unmatched,0,0,Unmatched,0,0,H30,182,5,H30,182,5,11,11,191,191,0,0
W87,1,Doctor,175,H77,147,2,H77,147,2,Unmatched,0,0,Unmatched,0,0,H77,147,2,H77,147,2,4,4,192,192,0,0
W148,1,Doctor,176,H150,19,1,H150,19,1,Unmatched,0,0,Unmatched,0,0,H150,19,1,H150,19,1,0,0,192,192,0,0
W96,1,Doctor,177,H31,144,2,H31,144,2,Unmatched,0,0,Unmatched,0,0,H31,144,2,H31,144,2,3,3,192,192,0,0
W21,1,Doctor,178,H101,82,3,H101,82,3,Unmatched,0,0,Unmatched,0,0,H101,82,3,H101,82,3,0,0,192,192,0,0
W111,1,Doctor,179,H38,116,1,H38,116,1,Unmatched,0,0,Unmatched,0,0,H38,116,1,H38,116,1,1,1,191,191,0,0
W6,1,Doctor,180,H70,159,5,H70,159,5,Unmatched,0,0,Unmatched,0,0,H78,147,4,H78,147,4,4,4,193,193,0,0
W104,1,Doctor,181,H171,17,2,H171,17,2,Unmatched,0,0,Unmatched,0,0,H171,17,2,H171,17,2,0,0,191,191,0,0
W174,1,Doctor,182,H26,47,3,H26,47,3,Unmatched,0,0,Unmatched,0,0,H26,47,3,H26,47,3,0,0,191,191,0,0
